;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
30966;2021-11-04;RJ;ITATIAIA;116;312;-22.46747695;-44.50528666;3
30967;2021-11-04;TO;MIRANORTE;153;412;-9.51563983;-48.58971255;2
30968;2021-11-04;PI;BOM JESUS;135;368;-9.18719426;-44.43224668;1
30969;2021-11-04;RS;RIO GRANDE;392;49,5;-31.88320305;-52.32070832;2
30970;2021-11-04;MG;UBERLANDIA;365;604,1;-18.89210463;-48.14238489;4
30971;2021-11-04;SC;NOVA ITABERABA;282;561;-26.92643196;-52.8565979;1
30972;2021-11-04;BA;RIACHAO DAS NEVES;135;104;-11.595614;-44.832138;6
30973;2021-11-04;RN;MOSSORO;304;47;-5.22580438;-37.3321867;2
30974;2021-08-28;BA;MUQUEM DE SAO FRANCISCO;242;634;-12.20740335;-43.61136071;2
30975;2021-11-04;PR;CORNELIO PROCOPIO;369;88;-23.18353;-50.639358;2
30976;2021-11-04;MS;RIO VERDE DE MATO GROSSO;163;708;-18.68713905;-54.81543286;1
30977;2021-11-04;PR;GUARAPUAVA;277;347,3;-25.3764261;-51.5041192;2
30978;2021-11-05;PR;APUCARANA;376;231,9;-23.56454522;-51.53077126;1
30979;2021-11-05;SC;LAGUNA;101;297,9;-28.3463509;-48.73553395;2
30980;2021-11-04;MG;JAMPRUCA;116;360,2;-18.46116482;-41.85181837;1
30981;2021-11-05;BA;JAGUAQUARA;116;608;-13.2797117;-40.0163269;3
